tweet_id,User,Date Created,Number of Likes,Source of Tweet,Tweet
0,Lee Badgley,2022-12-11 16:07:23+00:00,0,Twitter for iPhone,"@ZenTeague @knothand1 @TimRunsHisMouth @POTUS Don’t use facts, especially when it points to the Obama/Biden administration."
1,Debbie,2022-12-11 16:07:17+00:00,0,Twitter for iPhone,@FoxNews There is no limit to Biden &amp; his Administration’s COLLUSION with the enemy.  🤬
2,Giveback Ourchoice,2022-12-11 16:07:15+00:00,0,Twitter for Android,"Why aren't the Republicans throwing a fit about the fact Trump did NOTHING to help Whelan?!🤔
The twin brother of Pa… https://t.co/yfQrITcP6A"
3,HandsomeBully,2022-12-11 16:07:15+00:00,0,Twitter for Android,"@RSic90896766 @DaperReptilian @ken2lil @Awilix__ @RogerJStoneJr ""censoring"" naked pictures of Hunter biden's penis?… https://t.co/qDNYqfa6eb"
4,Steve Palmo,2022-12-11 16:07:09+00:00,0,Twitter for iPhone,Court Permanently Blocks Biden Administration’s Transgender Mandate https://t.co/hVRfGHEzIo
5,hagiwararyu,2022-12-11 16:07:04+00:00,0,世界モバイル評論家協会,"EpochTimesさんからRT:　As the Biden administration is set to end the Trump-era #Title42 restriction on Dec. 21, US offic… https://t.co/RdqTuB0s9v"
6,G WALKER,2022-12-11 16:07:01+00:00,0,Twitter Web App,"@Reuters ""How did we get here?"" Answer should include-Biden Administration printing $ - Trillions and Trillions $ a… https://t.co/uieMvzoCf3"
7,Labella Baskets & Gifts,2022-12-11 16:06:59+00:00,0,Twitter Web App,"RT @JimRapoli: Ex Trump administration member Miles Taylor just blew the roof off Republicans crazy claims of Twitter files 
Mr Taylor was…"
8,Mimi Glitches,2022-12-11 16:06:56+00:00,0,Twitter for Android,RT @BlackKnight10k: Do you think Biden should be impeached for everything his administration did in 2020?
9,Bob Icles,2022-12-11 16:06:54+00:00,0,Twitter for Android,"RT @JudicialWatch: The Taliban is training and operating with U.S. military equipment including rifles, trucks, and helmets with night visi…"
10,Az Cowboy,2022-12-11 16:06:49+00:00,0,Twitter for iPhone,The Biden administration is becoming the Evil Empire! This is inexcusable! https://t.co/npo6C6ervv
11,Kttn,2022-12-11 16:06:47+00:00,0,Twitter for Android,"RT @JacobWindrix: @DonaldJTrumpJr Trump turned down Paul Whelan and Viktor Bout prisoner swap years ago, John Bolton says

Trump blasted th…"
12,Shauna Cooper,2022-12-11 16:06:44+00:00,0,Twitter for Android,"RT @mtaibbi: @ShellenbergerMD @bariweiss 6.     As soon as they finished banning Trump, Twitter execs started processing new power. They pr…"
13,Jake Schneider,2022-12-11 16:06:44+00:00,0,Twitter for iPhone,"RT @RNCResearch: Despite revelations to the contrary this week, top Biden spokesman John Kirby vehemently denies the Biden administration a…"
14,Amari Cooper Cuz 🐶,2022-12-11 16:06:41+00:00,0,Twitter for iPhone,RT @nocontextdrumar: Dr. Umar Johnson Talks Britney Griner &amp; Not Having Respect For The Biden Administration! 👀🔥 https://t.co/K4hFZcv6sR
15,Mary,2022-12-11 16:06:23+00:00,0,Twitter for iPhone,"RT @highbrow_nobrow: Under the Trump Administration, the deficit went up every single year. Under President Biden, the deficit has fallen s…"
16,Yolo🌹764🌹,2022-12-11 16:06:22+00:00,0,Twitter for Android,RT @Out5p0ken: Former National Security Adviser John Bolton revealed in a CBS interview that Trump turned down a chance to secure Paul Whel…
